LINE,SENT DATE
232432,2017-01-18
232624,2017-01-18
232637,2017-01-18
231225,2017-01-18
231703,2017-01-18
231809,2017-01-18
231864,2017-01-18
231872,2017-01-18
232066,2017-01-18
231273,2017-01-18
231882,2017-01-18
232325,2017-01-18
232506,2017-01-18
232622,2017-01-18
233728,2017-01-19
231702,2017-01-19
231704,2017-01-19
231711,2017-01-19
231894,2017-01-19
231914,2017-01-19
231935,2017-01-19
232078,2017-01-19
232134,2017-01-19
232200,2017-01-19
232374,2017-01-19
232420,2017-01-19
232820,2017-01-19
233112,2017-01-19
233184,2017-01-19
233206,2017-01-19
233012,2017-01-19
231567,2017-01-19
232009,2017-01-19
232014,2017-01-19
233424,2017-01-19
234023,2017-01-19
232170,2017-01-19
233951,2017-01-20
230429,2017-01-20
230981,2017-01-20
231498,2017-01-20
232053,2017-01-20
232082,2017-01-20
232129,2017-01-20
232256,2017-01-20
232289,2017-01-20
232315,2017-01-20
232334,2017-01-20
232344,2017-01-20
232437,2017-01-20
232445,2017-01-20
232459,2017-01-20
232472,2017-01-20
232576,2017-01-20
232617,2017-01-20
232660,2017-01-20
232734,2017-01-20
232764,2017-01-20
232814,2017-01-20
232847,2017-01-20
232906,2017-01-20
232910,2017-01-20
232918,2017-01-20
232935,2017-01-20
232965,2017-01-20
233049,2017-01-20
233633,2017-01-20
233971,2017-01-20
234107,2017-01-20
234334,2017-01-20
230627,2017-01-20
231752,2017-01-20
234229,2017-01-20
232304,2017-01-20
229596,2017-01-21
229779,2017-01-21
230428,2017-01-21
230748,2017-01-21
230773,2017-01-21
231252,2017-01-21
231298,2017-01-21
231339,2017-01-21
231456,2017-01-21
231505,2017-01-21
231506,2017-01-21
231649,2017-01-21
231665,2017-01-21
231754,2017-01-21
231796,2017-01-21
231806,2017-01-21
231811,2017-01-21
231819,2017-01-21
231843,2017-01-21
231852,2017-01-21
231868,2017-01-21
231902,2017-01-21
231911,2017-01-21
231938,2017-01-21
232010,2017-01-21
232038,2017-01-21
232051,2017-01-21
232077,2017-01-21
232244,2017-01-21
232252,2017-01-21
232258,2017-01-21
232265,2017-01-21
232269,2017-01-21
232332,2017-01-21
232364,2017-01-21
232421,2017-01-21
232422,2017-01-21
232431,2017-01-21
232455,2017-01-21
232456,2017-01-21
232466,2017-01-21
232591,2017-01-21
232593,2017-01-21
232654,2017-01-21
232696,2017-01-21
232837,2017-01-21
232843,2017-01-21
232865,2017-01-21
232869,2017-01-21
232874,2017-01-21
232892,2017-01-21
232908,2017-01-21
232915,2017-01-21
232925,2017-01-21
232970,2017-01-21
232980,2017-01-21
232981,2017-01-21
233011,2017-01-21
233071,2017-01-21
233073,2017-01-21
233082,2017-01-21
233152,2017-01-21
233212,2017-01-21
233252,2017-01-21
233684,2017-01-21
230859,2017-01-21
231299,2017-01-21
233289,2017-01-21
230294,2017-01-21
232346,2017-01-21
232623,2017-01-22
232825,2017-01-22
230012,2017-01-23
231437,2017-01-23
232313,2017-01-23
232621,2017-01-23
232650,2017-01-23
233199,2017-01-23
234345,2017-01-24
232189,2017-01-24
232844,2017-01-24
232904,2017-01-24
233927,2017-01-24
231172,2017-01-25
231582,2017-01-25
231737,2017-01-25
231803,2017-01-25
232587,2017-01-25
232597,2017-01-25
232681,2017-01-25
232840,2017-01-25
232973,2017-01-25
232996,2017-01-25
233025,2017-01-25
233101,2017-01-25
233122,2017-01-25
233124,2017-01-25
233249,2017-01-25
233292,2017-01-25
233501,2017-01-25
233710,2017-01-25
233735,2017-01-25
233737,2017-01-25
234075,2017-01-25
234554,2017-02-01
237585,2017-02-01
236902,2017-02-01
235323,2017-02-01
236137,2017-02-01
235173,2017-02-01
236418,2017-02-01
236232,2017-02-01
234777,2017-02-01
237013,2017-02-02
237277,2017-02-02
234885,2017-02-02
234948,2017-02-02
237062,2017-02-02
235028,2017-02-02
238226,2017-02-02
225974,2017-02-03
