order_number,ship_date
R711321446,2017-03-06
R854640400,2017-03-07
R061318672,2017-03-10
R426144747,2017-03-06
R722855301,2017-03-06
R866066506,2017-03-06
R362033886,2017-03-06
R023132247,2017-03-06
R775611367,2017-03-06
R344371015,2017-03-06
R604568563,2017-03-06
R312812865,2017-03-07
R276604680,2017-03-07
R232723233,2017-03-07
R814550756,2017-03-07
R318356507,2017-03-07
R386603837,2017-03-07
R358824084,2017-03-07
R455234308,2017-03-07
R020164471,2017-03-07
R281526210,2017-03-07
R583267346,2017-03-07
R475654301,2017-03-07
R417072105,2017-03-07
R765225521,2017-03-07
R401838440,2017-03-07
R200354374,2017-03-07
R710574760,2017-03-07
R875176283,2017-03-08
R014762831,2017-03-08
R742832324,2017-03-08
R742783163,2017-03-08
R718005601,2017-03-08
R552484035,2017-03-08
R653588810,2017-03-08
R575750756,2017-03-08
R583301416,2017-03-08
R365468287,2017-03-08
R081414716,2017-03-08
R465637352,2017-03-08
R323250085,2017-03-08
R524423063,2017-03-08
R524423063,2017-03-08
R338577781,2017-03-08
R608817668,2017-03-08
R167303570,2017-03-08
R167303570,2017-03-08
R887311466,2017-03-08
R742783163,2017-03-08
R751522578,2017-03-09
R387512474,2017-03-09
R387512474,2017-03-09
R006781844,2017-03-09
R463044423,2017-03-09
R466244168,2017-03-09
R286326873,2017-03-09
R521468876,2017-03-09
R847165770,2017-03-09
R474502284,2017-03-09
R610712850,2017-03-09
R703662504,2017-03-09
R417876004,2017-03-10
R177267430,2017-03-10
R776470552,2017-03-10
R425410547,2017-03-10
R876023453,2017-03-10
R336252443,2017-03-10
R545350406,2017-03-10
R425410547,2017-03-10
R057557701,2017-03-10
R107173144,2017-03-10
R886280040,2017-03-10
R808415765,2017-03-13
R204813206,2017-03-13
R126485421,2017-03-13
R528838860,2017-03-13
R737615625,2017-03-13
R386521208,2017-03-13
R386521208,2017-03-13
R885100501,2017-03-13
R027038482,2017-03-13
R133561765,2017-03-13
E356172005,2017-03-13
R121738167,2017-03-13
R858806624,2017-03-13
R314001023,2017-03-13
R677672745,2017-03-13
R851546703,2017-03-13
R787126014,2017-03-13
R488758722,2017-03-13
R083065525,2017-03-13
R083065525,2017-03-13
R083065525,2017-03-13
R684401318,2017-03-13
R124355322,2017-03-13
R850025840,2017-03-13
R155484035,2017-03-13
R841847065,2017-03-13
R142306345,2017-03-13
R482184846,2017-03-13
R620824137,2017-03-13
R275644184,2017-03-14
R277550765,2017-03-14
R174087664,2017-03-14
R501670411,2017-03-14
R305534657,2017-03-14
R255015358,2017-03-15
R210518406,2017-03-15
R412564637,2017-03-15
R185226676,2017-03-15
R465400671,2017-03-15
R372030586,2017-03-15
R626642571,2017-03-15
R681076806,2017-03-15
R416521125,2017-03-15
R156847774,2017-03-15
R120432237,2017-03-15
R440813060,2017-03-15
R146765561,2017-03-15
R140461472,2017-03-15
R048541134,2017-03-15
R231758420,2017-03-15
R724511171,2017-03-15
R042053077,2017-03-16
R067423280,2017-03-16
R184466616,2017-03-16
R184466616,2017-03-16
R260343800,2017-03-16
R270803206,2017-03-16
R407074152,2017-03-16
R548445628,2017-03-16
R588710508,2017-03-16
R630234176,2017-03-16
R643827642,2017-03-16
R771246720,2017-03-16
R773162152,2017-03-16
R783387054,2017-03-23
R843604340,2017-03-16
R268762242,2017-03-17
R627717285,2017-03-17
R506265063,2017-03-17
R606047338,2017-03-17
R520388867,2017-03-17
R156625456,2017-03-17
R808254873,2017-03-17
R510434510,2017-03-17
R844687348,2017-03-21
R202280422,2017-03-17
R858853022,2017-03-17
R673115631,2017-03-17
R103155820,2017-03-17
R053516570,2017-03-20
R211086137,2017-03-20
R576763154,2017-03-20
R570637361,2017-03-20
R354270527,2017-03-20
R406506382,2017-03-20
R708253053,2017-03-20
R752515240,2017-03-20
R461458277,2017-03-20
R551081700,2017-03-20
R472462722,2017-03-20
R042713085,2017-03-20
R771461482,2017-03-20
R771461482,2017-03-20
R885685728,2017-03-20
R770476858,2017-03-20
R825185557,2017-03-20
R455424580,2017-03-21
R362310445,2017-03-21
R342088418,2017-03-21
R241414370,2017-03-21
R003867602,2017-03-21
R056808730,2017-03-21
R707046231,2017-03-21
R788753666,2017-03-21
R165131640,2017-03-21
R882415548,2017-03-21
R342088418,2017-03-21
R054382061,2017-03-21
R343533684,2017-03-21
R466278633,2017-03-21
R585025087,2017-03-21
R554804135,2017-03-21
R328022881,2017-03-21
R532600606,2017-03-21
R177574812,2017-03-21
R440517452,2017-03-21
R483441772,2017-03-21
R778763673,2017-03-21
R202632514,2017-03-22
R575833774,2017-03-22
R410857881,2017-03-22
R322468363,2017-03-22
R211471473,2017-03-22
R823580076,2017-03-22
R055356161,2017-03-22
R038343517,2017-03-22
R456226843,2017-03-22
R761251575,2017-03-22
R120647468,2017-03-22
R106668423,2017-03-22
R607536105,2017-03-22
R112813864,2017-03-22
R025175260,2017-03-23
R031583878,2017-03-23
R115546375,2017-03-23
R171778762,2017-03-23
R212113505,2017-03-23
R267082505,2017-03-23
R302675883,2017-03-23
R310657656,2017-03-23
R337071782,2017-03-23
R387185305,2017-03-23
R404547122,2017-03-23
R466886372,2017-03-23
R472884418,2017-03-23
R501655805,2017-03-23
R506476516,2017-03-23
R550361608,2017-03-23
R676101246,2017-03-23
R813464640,2017-03-23
R621153012,2017-03-24
R267045870,2017-03-24
R768852175,2017-03-24
R751030578,2017-03-24
R238684546,2017-03-24
R338642465,2017-03-24
R736040154,2017-03-24
R122261586,2017-03-24
R550223137,2017-03-24
R550223137,2017-03-24
R550188157,2017-03-24
R641658722,2017-03-24
R676882720,2017-03-24
R417881345,2017-03-24
R222766772,2017-03-24
R332625315,2017-03-27
R712546684,2017-03-27
M853103718,2017-03-27
R102147202,2017-03-27
R108366757,2017-03-27
R366106103,2017-03-27
R006284338,2017-03-27
R430234532,2017-03-27
R683177102,2017-03-27
R643656601,2017-03-27
R502061132,2017-03-27
R358024341,2017-03-27
R316116057,2017-03-27
R723175211,2017-03-28
R648880644,2017-03-28
R716872672,2017-03-28
R477573160,2017-03-28
R068111416,2017-03-28
R556015485,2017-03-28
R730666870,2017-03-28
R323674278,2017-03-28
R384316114,2017-03-28
R356685225,2017-03-28
R074715018,2017-03-28
R276548806,2017-03-28
R533228145,2017-03-28
R831076047,2017-03-28
R160287004,2017-03-28
R212110758,2017-03-28
R717322175,2017-03-28
R054733565,2017-03-28
R567261123,2017-03-28
R647151887,2017-03-28
R372336530,2017-03-28
R167007486,2017-03-28
R125134130,2017-03-28
R338715478,2017-03-28
R626241763,2017-03-28
R540846740,2017-03-28
R086013683,2017-03-29
R485841438,2017-03-29
R241771622,2017-03-29
R825271516,2017-03-29
R436325003,2017-03-29
R206623608,2017-03-29
R461007335,2017-03-29
R705274658,2017-03-29
R512870020,2017-03-29
R870175554,2017-03-29
R321411530,2017-03-29
R642774062,2017-03-29
R423167730,2017-03-29
R884732802,2017-03-29
R322465547,2017-03-30
R585886376,2017-03-30
R474228245,2017-03-30
R647808746,2017-03-30
E433720754,2017-03-30
R710708425,2017-03-30
R785820286,2017-03-30
R651648808,2017-03-30
R054326506,2017-03-30
R054326506,2017-03-30
R171388272,2017-03-30
R705667048,2017-03-30
R350201587,2017-03-30
R358571664,2017-03-30
R703401350,2017-03-30
R585064463,2017-03-30
R244478685,2017-03-30
R015863850,2017-03-30
R810033432,2017-03-31
R058106211,2017-03-31
R348773636,2017-03-31
R287158816,2017-03-31
R101778825,2017-03-31
R224444261,2017-03-31
R713440366,2017-03-31
R374760347,2017-03-31
R010701602,2017-03-31
R762647568,2017-03-31
R161373580,2017-03-31
R161373580,2017-03-31
M446466610,2017-03-31
R776404064,2017-03-31
R540202067,2017-03-31
R782202566,2017-03-31
R646003221,2017-03-31
R003281186,2017-03-31
R370572436,2017-03-31
R608265682,2017-03-31
R170060565,2017-03-31
R361178382,2017-03-31
R825715465,2017-03-31
R484682514,2017-03-31
R756851550,2017-03-31
R763356326,2017-03-31
R050883147,2017-03-31
R651442424,2017-04-05
R203127812,2017-04-05
R271603655,2017-04-05
R766787816,2017-04-05
R766787816,2017-04-05
R382027655,2017-04-05
R382027655,2017-04-05
R410227685,2017-04-05
R287773407,2017-04-05
R727457581,2017-04-05
R545781646,2017-04-05
R757877302,2017-04-05
R803044870,2017-04-05
R463268768,2017-04-05
R881352750,2017-04-05
R752460222,2017-04-05
R485021215,2017-04-05
R161721517,2017-04-05
R425857533,2017-04-05
R734247560,2017-04-05
R461874007,2017-04-05
R684440774,2017-04-05
R888771388,2017-04-05
R111844443,2017-04-05
R754040185,2017-04-05
R750822683,2017-04-05
R673563553,2017-04-05
R267636883,2017-04-05
R803767286,2017-04-05
R803767286,2017-04-05
R548360505,2017-04-05
R661245472,2017-04-05
R251251632,2017-04-05
R152801361,2017-04-05
R506755146,2017-04-05
R886210322,2017-04-05
