order_number,ship_date
R734465450,2017-05-03
R734465450,2017-05-03
R734465450,2017-05-03
R734465450,2017-05-03
R734465450,2017-05-03
R734465450,2017-05-03
R734465450,2017-05-03
R836650337,2017-05-03
R473263442,2017-05-04
R222714002,2017-05-04
R308736352,2017-05-04
R363816337,2017-05-04
R405007711,2017-05-04
R028645544,2017-05-04
R137138351,2017-05-04
R125668086,2017-05-04
R505461011,2017-05-04
R363816337,2017-05-04
R063062343,2017-05-04
R253278066,2017-05-04
R032552306,2017-05-04
R008313434,2017-05-04
R385338718,2017-05-04
E665647803,2017-05-04
R266643652,2017-05-04
R865305045,2017-05-04
R003615658,2017-05-04
R386561410,2017-05-04
R321688222,2017-05-04
E542565270,2017-05-04
R052574448,2017-05-04
R350421808,2017-05-04
R404075774,2017-05-04
R200600364,2017-05-04
R028645544,2017-05-04
R053804477,2017-05-04
R885756588,2017-05-04
R382715072,2017-05-04
R321427403,2017-05-04
R224164838,2017-05-04
R308736352,2017-05-04
R036676064,2017-05-04
E408572844,2017-05-05
R010457887,2017-05-05
R025657554,2017-05-05
R050567740,2017-05-05
R068550337,2017-05-05
R068827730,2017-05-08
R077165116,2017-05-05
R085105821,2017-05-05
R176233841,2017-05-05
R225835375,2017-05-05
R260513735,2017-05-05
R285580186,2017-05-05
R343224456,2017-05-05
R414484876,2017-05-05
R505658872,2017-05-05
R515288185,2017-05-05
R521480275,2017-05-05
R582058353,2017-05-05
R583646686,2017-05-05
R654324445,2017-05-05
R654484444,2017-05-05
R704743080,2017-05-05
R822480284,2017-05-05
R830204275,2017-05-05
R417365035,2017-05-08
R035426168,2017-05-08
R523121861,2017-05-08
R261662574,2017-05-08
R620055175,2017-05-08
R388837724,2017-05-08
R310401762,2017-05-08
R310401762,2017-05-08
R307502307,2017-05-08
R307502307,2017-05-08
R385536685,2017-05-08
R133856545,2017-05-08
R412132078,2017-05-08
R876021834,2017-05-08
R473470600,2017-05-08
R251183586,2017-05-08
R700762204,2017-05-08
R170832886,2017-05-08
R446066761,2017-05-08
R376668883,2017-05-08
R106040842,2017-05-08
R106040842,2017-05-08
R334845565,2017-05-08
R745483345,2017-05-08
R704661300,2017-05-08
R775357752,2017-05-08
R218875456,2017-05-08
R775475214,2017-05-08
R601417243,2017-05-08
R617184375,2017-05-08
R857804445,2017-05-08
R745483345,2017-05-08
R448554410,2017-05-08
R284383104,2017-05-08
R453546735,2017-05-08
R134414748,2017-05-08
R111430455,2017-05-08
R236451670,2017-05-08
R737156174,2017-05-08
R557604437,2017-05-08
R415451000,2017-05-08
R055876752,2017-05-08
R535714484,2017-05-08
R786606817,2017-05-08
R023526357,2017-05-08
R104172836,2017-05-08
R104172836,2017-05-08
R172328538,2017-05-08
R306068466,2017-05-08
R315163340,2017-05-08
R316581742,2017-05-08
R614866261,2017-05-08
R622042568,2017-05-08
R668044050,2017-05-08
R785145075,2017-05-08
R048516582,2017-05-09
R206674180,2017-05-09
R211643441,2017-05-09
R270215173,2017-05-09
R338770763,2017-05-09
R476175470,2017-05-09
R482883187,2017-05-09
R482883187,2017-05-09
R546364012,2017-05-09
R580232438,2017-05-09
R604186563,2017-05-09
R658146786,2017-05-09
R705555576,2017-05-09
R772137688,2017-05-09
R831667730,2017-05-09
R870263504,2017-05-09
R833616024,2017-05-09
R804163076,2017-05-10
R520254583,2017-05-10
R820226733,2017-05-10
R606603005,2017-05-10
R172035006,2017-05-10
R222101882,2017-05-10
R347738612,2017-05-10
R188135323,2017-05-10
R072747177,2017-05-10
R148473308,2017-05-10
R027630655,2017-05-10
R027630655,2017-05-10
R735780471,2017-05-10
M386301781,2017-05-10
R131300235,2017-05-10
R588178620,2017-05-10
R478500070,2017-05-10
R525762806,2017-05-10
R085740566,2017-05-10
R217853521,2017-05-10
R062468333,2017-05-10
R138672706,2017-05-11
R331811884,2017-05-11
R250608367,2017-05-11
R805108256,2017-05-11
R384011872,2017-05-11
R616246588,2017-05-11
R775850631,2017-05-11
R260453252,2017-05-11
R063412071,2017-05-11
R785046703,2017-05-11
R675126121,2017-05-11
R434668203,2017-05-11
R434668203,2017-05-11
R512501278,2017-05-11
R706321615,2017-05-11
R772463682,2017-05-11
R733516543,2017-05-11
R063412071,2017-05-11
R785830038,2017-05-11
R865146665,2017-05-11
R120342088,2017-05-11
R071611017,2017-05-11
R434668203,2017-05-11
R841434502,2017-05-12
R346820811,2017-05-12
R084573057,2017-05-12
R040362354,2017-05-12
R244323543,2017-05-12
R465027381,2017-05-12
R020113502,2017-05-12
R020113502,2017-05-12
R020113502,2017-05-12
R020113502,2017-05-12
R040362354,2017-05-12
R014533288,2017-05-12
E368803721,2017-05-12
R245002235,2017-05-12
R020113502,2017-05-12
R776072780,2017-05-12
R132234240,2017-05-12
R111325484,2017-05-12
R402422148,2017-05-12
R143136486,2017-05-12
R138672706,2017-05-12
R733370576,2017-05-12
R127184381,2017-05-15
R020127255,2017-05-15
R725408071,2017-05-15
E541826085,2017-05-15
R632165583,2017-05-15
R772545542,2017-05-15
R701053046,2017-05-15
R107136465,2017-05-15
R067210044,2017-05-15
R721651648,2017-05-15
R862841174,2017-05-15
R251247417,2017-05-15
R360106714,2017-05-16
R303064845,2017-05-16
R134142781,2017-05-16
R266306665,2017-05-15
R433285432,2017-05-15
R476606464,2017-05-15
R674635744,2017-05-15
R674635744,2017-05-15
R260421600,2017-05-15
R312483453,2017-05-15
R312483453,2017-05-15
R136613013,2017-05-15
R642727424,2017-05-15
R522507476,2017-05-15
R610524530,2017-05-15
R057306725,2017-05-15
R726388008,2017-05-15
E420426744,2017-05-15
R076514032,2017-05-15
R561061558,2017-05-15
R571260613,2017-05-16
R332384237,2017-05-15
R727425657,2017-05-15
R168714814,2017-05-16
R168714814,2017-05-16
R881584525,2017-05-16
R014814245,2017-05-16
R564357717,2017-05-16
R375644417,2017-05-16
R525372800,2017-05-16
R050886672,2017-05-16
R343028653,2017-05-16
E702631070,2017-05-16
R770018037,2017-05-16
R123338273,2017-05-16
R545543318,2017-05-16
R241266317,2017-05-16
R681450020,2017-05-16
R014265353,2017-05-16
R561112026,2017-05-16
R700572485,2017-05-16
R343028653,2017-05-16
R824052113,2017-05-16
R824052113,2017-05-16
R165844725,2017-05-16
R720253460,2017-05-16
R868577162,2017-05-16
R700026045,2017-05-16
R487610627,2017-05-17
R570810537,2017-05-16
R116370271,2017-05-16
R762515687,2017-05-16
R238088662,2017-05-16
R230161235,2017-05-16
R646480671,2017-05-16
R664275646,2017-05-16
R727210170,2017-05-16
R581475660,2017-05-16
R731540422,2017-05-16
R353802271,2017-05-16
R007243477,2017-05-16
R761281767,2017-05-16
R850825378,2017-05-16
R555471228,2017-05-16
R853211303,2017-05-17
R638774656,2017-05-17
R688455441,2017-05-17
R482765831,2017-05-17
R742587630,2017-05-17
R744268417,2017-05-17
R474253534,2017-05-17
R252703725,2017-05-17
R883873753,2017-05-17
R142507172,2017-05-17
R053646248,2017-05-17
R634721512,2017-05-17
R574435653,2017-05-17
R278756833,2017-05-18
R634805373,2017-05-18
R548038172,2017-05-18
R548038172,2017-05-18
R621335616,2017-05-18
R433461062,2017-05-18
R670585203,2017-05-18
R158233483,2017-05-18
R874300413,2017-05-18
R267676840,2017-05-18
R323825126,2017-05-18
R511025162,2017-05-19
R623206161,2017-05-19
R607485620,2017-05-19
R202507408,2017-05-19
R121585363,2017-05-19
R351387070,2017-05-19
R062384717,2017-05-19
R367002538,2017-05-19
R367002538,2017-05-19
R220313843,2017-05-19
R368355275,2017-05-19
R671058065,2017-05-22
R725830288,2017-05-22
R830364253,2017-05-22
R531420115,2017-05-22
R660007737,2017-05-22
R454158421,2017-05-22
R217860541,2017-05-22
R884735148,2017-05-22
R672502817,2017-05-22
R723113013,2017-05-22
R574075313,2017-05-22
R588866810,2017-05-22
R723113013,2017-05-22
R125030623,2017-05-22
R125030623,2017-05-22
R125030623,2017-05-22
R500155623,2017-05-22
R433640748,2017-05-22
R433640748,2017-05-22
R433640748,2017-05-22
R010052270,2017-05-22
R006316473,2017-05-22
R456285575,2017-05-22
R507536078,2017-05-22
R658503423,2017-05-22
R201577813,2017-05-22
R628726115,2017-05-22
R032350553,2017-05-22
R030480001,2017-05-22
R665012852,2017-05-22
E602334448,2017-05-23
R352230765,2017-05-23
R718002515,2017-05-23
R843625470,2017-05-23
R774312267,2017-05-23
R325326448,2017-05-23
R153728711,2017-05-23
R230565628,2017-05-23
R818351184,2017-05-23
R843625470,2017-05-23
R740172775,2017-05-24
R440853363,2017-05-24
R312535830,2017-05-24
R150547137,2017-05-24
R324382724,2017-05-24
R371531247,2017-05-24
R682068324,2017-05-24
R064336072,2017-05-24
R048874465,2017-05-24
R502113754,2017-05-24
R684030112,2017-05-25
R163283507,2017-05-25
R256231421,2017-05-25
R280855505,2017-05-25
R632324186,2017-05-25
R471783632,2017-05-25
R411874875,2017-05-25
R678676803,2017-05-25
R442102315,2017-05-25
R710778256,2017-05-26
R057020510,2017-05-26
R742875307,2017-05-26
R231617021,2017-05-26
R117221677,2017-05-26
R661537665,2017-05-26
R840726324,2017-05-26
R826143425,2017-05-26
R418045588,2017-05-26
R478602478,2017-05-26
R014405228,2017-05-26
R704218535,2017-05-30
R364288280,2017-05-30
R714231144,2017-05-30
R150178566,2017-05-30
R016874430,2017-05-30
R016874430,2017-05-30
R112844747,2017-05-30
R036134225,2017-05-30
R036134225,2017-05-30
R520046811,2017-05-30
R830117065,2017-05-30
R575352063,2017-05-30
R262568524,2017-05-30
R317383044,2017-05-30
R857442184,2017-05-30
R382582558,2017-05-30
R127473367,2017-05-30
R482371517,2017-05-31
R424264665,2017-05-31
R265523172,2017-05-31
R838012073,2017-05-31
R000472874,2017-05-31
R618282278,2017-05-31
R508321133,2017-05-31
R666534763,2017-05-31
R663345648,2017-05-31
R032701534,2017-05-31
R181137246,2017-05-31
R236212516,2017-05-31
R523130765,2017-05-31
R844458527,2017-05-31
R407852822,2017-05-31
R765364464,2017-05-31
R228054482,2017-06-01
R670280711,2017-06-01
R510078612,2017-06-01
R321061544,2017-06-01
R563647566,2017-06-01
R176882745,2017-06-01
R566274078,2017-06-02
R311782064,2017-06-02
R136432021,2017-06-02
R383452540,2017-06-02
R174871758,2017-06-02
R684564364,2017-06-02
R876283550,2017-06-02
E331422177,2017-06-05
R168805671,2017-06-05
E311722770,2017-06-05
R158275317,2017-06-05
R838416407,2017-06-05
R470531116,2017-06-05
R275611187,2017-06-05
R316263840,2017-06-05
R524012500,2017-06-05
R524012500,2017-06-05
R365865061,2017-06-05
R318722751,2017-06-05
R578873522,2017-06-06
R668022050,2017-06-06
R410268711,2017-06-05
R118475456,2017-06-05
R531871281,2017-06-06
R803527778,2017-06-07
R568356445,2017-06-07
R875225004,2017-06-07
R476718177,2017-06-07
R346114407,2017-06-08
R661585156,2017-06-08
R552433557,2017-06-09
R581632757,2017-06-09
R402751480,2017-06-09
R711144032,2017-06-09
R866425375,2017-06-09
M225142757,2017-06-09
R824860247,2017-06-13
R212677637,2017-06-13
R045030161,2017-06-13
R660276552,2017-06-12
R351553522,2017-06-13
R655576453,2017-06-12
R243754357,2017-06-13
R710326017,2017-06-13
R376100787,2017-06-12
R685715675,2017-06-13
R537860175,2017-06-13
R315882271,2017-06-13
R328873580,2017-06-13
R272857075,2017-06-13
R030481875,2017-06-14
R666081161,2017-06-14
R885015765,2017-06-14
R323144450,2017-06-14
R216471617,2017-06-14
R311510426,2017-06-14
R752421075,2017-06-16
R105463502,2017-06-16
R655005325,2017-06-19
R231851707,2017-06-19
R800135516,2017-06-19
R063141032,2017-06-19
R063141032,2017-06-19
R063141032,2017-06-19
R063141032,2017-06-19
R346671871,2017-06-19
R354446875,2017-06-19
R053477186,2017-06-19
R364871535,2017-06-19
R833021482,2017-06-19
R056862003,2017-06-19
M424026518,2017-06-20
R505255146,2017-06-20
R738487674,2017-06-20
R005266068,2017-06-21
R615281408,2017-06-21
R153016381,2017-06-21
R43656601,2017-06-22
R805214781,2017-06-22
R211535246,2017-06-22
R653710866,2017-06-22
R735804771,2017-06-22
R332610365,2017-06-22
R136152614,2017-06-23
R114731856,2017-06-23
R534486621,2017-06-23
R802565140,2017-06-23
E447355426,2017-06-23
R131448285,2017-06-23
R322368508,2017-06-23
R156002705,2017-06-26
R537071132,2017-06-26
R568021788,2017-06-26
R510717716,2017-06-26
R016514263,2017-06-26
R048524481,2017-06-26
R264878367,2017-06-26
R184302332,2017-06-29
R170805556,2017-06-29
R451125207,2017-06-29
R358715356,2017-06-29
R748122613,2017-06-29
R184302332,2017-06-29
R846748357,2017-06-29
R131030633,2017-06-29
R526582148,2017-06-29
R422705336,2017-06-29
R331876181,2017-06-30
R001383280,2017-06-30
R373385380,2017-06-30
R516402112,2017-06-30
R577018688,2017-06-30
R446028613,2017-07-05
R047622367,2017-07-05
R002454380,2017-07-05
R827083385,2017-07-06
R511705357,2017-07-07
R123056713,2017-07-06
R124435018,2017-07-07
R406523035,2017-07-07
R167678865,2017-07-07
R685326745,2017-07-07
R841777626,2017-07-10
R331435078,2017-07-10
R306482602,2017-07-10
R341803165,2017-07-10
R777767318,2017-07-10
R777767318,2017-07-10
R073654723,2017-07-10
R623122266,2017-07-11
R300875143,2017-07-11
R866565658,2017-07-11
R582435161,2017-07-11
R714528685,2017-07-11
R216227332,2017-07-12
R842820886,2017-07-12
R621076807,2017-07-12
R321302712,2017-07-12
R008741880,2017-07-13
R338180121,2017-07-13
R687826050,2017-07-13
R345587655,2017-07-13
R820357733,2017-07-13
R157262358,2017-07-14
R611602686,2017-07-14
R370006858,2017-07-14
R710806021,2017-07-14
R410562845,2017-07-17
R070516356,2017-07-17
R003220826,2017-07-17
R880615741,2017-07-17
R664543617,2017-07-17
R537253824,2017-07-17
R411402683,2017-07-17
R351213751,2017-07-17
R624451714,2017-07-17
R857720601,2017-07-17
R708060042,2017-07-18
R026166426,2017-07-18
R137702782,2017-07-18
R505165240,2017-07-18
R537848130,2017-07-18
R862028833,2017-07-18
R752504804,2017-07-19
R612677005,2017-07-20
R612677005,2017-07-20
R781340467,2017-07-19
R083157558,2017-07-19
R785641186,2017-07-19
R361518534,2017-07-20
R361518534,2017-07-20
R361518534,2017-07-20
R635527452,2017-07-20
R340464773,2017-07-20
R823787552,2017-07-20
R552857457,2017-07-20
R155425341,2017-07-20
R717481808,2017-07-20
R253235846,2017-07-20
R683573841,2017-07-20
R168338747,2017-07-20
R067448270,2017-07-21
R632586783,2017-07-21
R050756010,2017-07-21
R725003262,2017-07-21
R031448246,2017-07-21
R031448246,2017-07-21
R148402488,2017-07-24
R228853764,2017-07-24
R441725137,2017-07-24
R441725137,2017-07-24
R102343847,2017-07-24
R072046115,2017-07-24
R034734034,2017-07-24
R141003003,2017-07-24
R002156270,2017-07-24
R323342760,2017-07-24
R778307366,2017-07-24
R157818801,2017-07-24
R571577763,2017-07-24
R870101666,2017-07-24
R833662443,2017-07-24
R236816171,2017-07-24
R116881077,2017-07-26
R116881077,2017-07-26
R842815147,2017-07-26
R804430421,2017-07-26
R000580484,2017-07-27
R106281715,2017-07-27
R117287488,2017-07-27
R616410668,2017-07-27
R225724051,2017-07-28
R102637038,2017-07-28
R565337481,2017-07-28
R854220182,2017-07-28
R770512783,2017-07-28
R643576670,2017-07-28
R435441058,2017-07-28
R435441058,2017-07-28
R630285522,2017-07-28
R078867732,2017-07-28
R422381604,2017-07-31
R728481854,2017-08-02
R065823778,2017-07-31
R668451608,2017-07-31
R023218748,2017-07-31
R587071120,2017-07-31
R408801235,2017-07-31
R637818655,2017-07-31
R620032583,2017-07-31
R305520802,2017-07-31
R116568212,2017-07-31
R240352127,2017-07-31
R057445410,2017-07-31
R702308350,2017-07-31
R801188367,2017-07-31
R156510836,2017-08-01
R263418483,2017-08-01
R047344647,2017-08-01
R147515002,2017-08-01
R732840115,2017-08-01
R835550576,2017-08-01
R141058867,2017-08-01
R347434561,2017-08-01
R670651751,2017-08-01
R250246031,2017-08-02
R252861244,2017-08-02
R433218526,2017-08-03
R682721343,2017-08-03
R123177115,2017-08-03
R581848778,2017-08-03
R540136106,2017-08-03
R652822745,2017-08-04
R666775176,2017-08-04
R666775176,2017-08-04
R666775176,2017-08-04
R653872852,2017-08-04
R747322862,2017-08-04
R145703178,2017-08-04
R178181503,2017-08-04
R077634043,2017-08-16
R077634043,2017-08-16
R277532183,2017-08-14
R056273306,2017-08-14
R314350041,2017-08-14
R465801150,2017-08-15
R710156382,2017-08-15
R644282743,2017-08-15
R528062585,2017-08-15
R380387827,2017-08-15
R068746468,2017-08-15
R654842342,2017-08-15
R285040667,2017-08-15
R837264242,2017-08-15
R855551305,2017-08-15
R532781641,2017-08-16
R052730268,2017-08-16
R034540675,2017-08-16
R571707034,2017-08-16
R521766201,2017-08-16
R835866540,2017-08-17
R171801806,2017-08-17
R824125547,2017-08-17
R162124155,2017-08-17
R757752355,2017-08-18
R538200021,2017-08-18
R133830163,2017-08-18
R246101132,2017-08-18
R171261066,2017-08-18
R647383380,2017-08-18
R750752035,2017-08-18
R444070812,2017-08-18
R486527262,2017-08-18
R260646417,2017-08-21
R518865883,2017-08-21
R518865883,2017-08-21
R776374652,2017-08-22
R753362205,2017-08-21
R237381512,2017-08-21
R766640216,2017-08-21
R500575087,2017-08-22
R381321736,2017-08-24
R531357228,2017-08-22
R286225862,2017-08-22
R630466731,2017-08-22
R421751037,2017-08-22
R150516227,2017-08-22
R708665755,2017-08-22
R741428775,2017-08-22
R436251215,2017-08-22
R504752031,2017-08-23
R332241581,2017-08-23
R812713585,2017-08-24
R244744786,2017-08-24
R433123477,2017-08-24
R724502484,2017-08-24
R828802407,2017-08-23
R056206482,2017-08-23
R056206482,2017-08-23
R056206482,2017-08-23
R112757882,2017-08-23
R165074385,2017-08-24
R607127820,2017-08-24
R558178721,2017-08-25
R053461170,2017-08-24
R515863561,2017-08-24
R581324746,2017-08-24
R511215308,2017-08-29
R433502360,2017-08-28
R433502360,2017-08-28
R384210885,2017-08-29
R765158575,2017-08-28
R204406220,2017-08-25
R712621306,2017-08-25
R712621306,2017-08-25
R712621306,2017-08-25
R712621306,2017-08-25
R260034654,2017-08-28
R676661478,2017-08-28
R054358535,2017-08-28
R426400034,2017-08-28
R320230136,2017-08-28
R273723247,2017-08-28
R833007002,2017-08-28
R171874416,2017-08-28
R485000380,2017-08-28
R038827640,2017-08-28
R231682886,2017-08-28
R484661270,2017-08-30
R484880441,2017-08-30
R484880441,2017-08-30
R447346328,2017-08-30
R244747287,2017-08-30
R468342310,2017-08-30
R482763250,2017-08-30
R361276385,2017-08-30
R755377634,2017-08-31
R542327388,2017-08-31
R720524123,2017-08-31
R062171353,2017-08-31
R147677163,2017-09-01
R820648475,2017-09-05
R432518201,2017-09-05
R458167185,2017-09-05
R820648475,2017-09-05
R706864551,2017-09-05
R515348327,2017-09-05
R655478037,2017-09-05
R278780262,2017-09-05
R164380205,2017-09-06
R040200623,2017-09-06
R767028742,2017-09-06
R775608140,2017-09-06
R211454315,2017-09-07
R850432724,2017-09-08
R364533546,2017-09-08
R711854247,2017-09-11
R658230025,2017-09-11
M551830835,2017-09-11
R821876151,2017-09-11
R247156053,2017-09-11
R713175566,2017-09-12
R527600132,2017-09-12
R267074735,2017-09-12
R106025445,2017-09-13
R468117144,2017-09-13
R468117144,2017-09-13
R212325030,2017-09-13
R681730065,2017-09-13
R846803618,2017-09-13
R750115270,2017-09-13
R654356002,2017-03-08
R885115011,2017-04-03
R183837344,2017-04-03
R183716844,2017-04-03
R588201664,2017-04-03
R752634211,2017-04-03
R048835141,2017-04-03
R804582282,2017-04-03
R435084456,2017-04-03
R036308773,2017-04-03
R051213645,2017-04-03
R836411288,2017-04-03
R754731638,2017-04-03
R270638263,2017-04-03
R226353242,2017-04-03
R583312560,2017-04-03
R548432640,2017-04-28
R111207845,2017-07-03
R210480230,2017-07-03
R000827066,2017-07-03
R421882007,2017-07-03
R170565650,2017-07-03
R230051157,2017-03-06
R168667745,2017-03-20
R226710233,2017-03-23
R640775472,2017-06-15
R458382105,2017-06-15
R526162800,2017-06-15
R082418888,2017-06-15
E472001062,2017-02-03
E866786623,2017-02-03
R052566615,2017-02-03
R057327278,2017-02-03
R080623033,2017-02-03
R106312888,2017-02-03
R108502657,2017-02-03
R112064034,2017-02-03
R116878413,2017-02-03
R143008661,2017-02-03
R168135347,2017-02-03
R175638887,2017-02-03
R226350006,2017-02-03
R242678100,2017-02-03
R307312302,2017-02-03
R380104735,2017-02-03
R421385108,2017-02-03
R453164404,2017-02-03
R477881455,2017-02-03
R482113268,2017-02-03
R534465071,2017-02-03
R552325174,2017-02-03
R553404360,2017-02-03
R566354157,2017-02-03
R600163575,2017-02-03
R671217430,2017-02-03
R688152105,2017-02-03
R716888552,2017-02-03
R718555888,2017-02-03
R744711751,2017-02-03
R747156160,2017-02-03
R768456708,2017-02-03
R817231176,2017-02-03
R853827701,2017-02-03
R858533182,2017-02-03
R360667447,2017-07-21
R358522242,2017-07-21
R341472360,2017-07-25
R837681328,2017-07-25
R502444345,2017-07-25
R616081841,2017-08-01
R331036686,2017-08-07
R847516210,2017-08-09
R111510205,2017-08-15
R832321336,2017-08-25
R683638275,2017-08-31
R581007884,2017-08-31
