Cohort,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,year_month
Prom,23631.01,22522.04,72,89,16,13,8532.166156422703,222.5,6175.426996422703,-1338.5,1676.8999999999999,199.53,0,72,45,0,2017-01
Bridal,12749.5304,12312.750399999999,35,46,9,13,4590.303681375642,115,3378.7705864423083,-687.3,840.6633333333333,250.5200000000002,0,35,18,2,2017-02
Contemporary,10955.6552,10437.5752,37,43,9,2,4214.593910287191,107.5,3064.3842294871906,-693.9,834.62,145.82,0,37,26,0,2017-02
Not Assigned,347481.155,336228.585,1096,1320,179,205,129100.66892846284,3295,93534.2866301295,-14621.33,25420.353333333333,2375.97,603.99,1096,642,38,2017-02
Prom,47624.6626,45515.9366,153,182,25,24,17455.627316955393,455,12547.060155555393,-2857.506,3534.005,327.58,399,153,97,0,2017-02
Bridal,23187.21,22221.89,59,85,9,12,8378.864097899097,212.5,6204.6892878990975,-1470.2,1504.24,504.88,0,59,27,1,2017-03
Contemporary,17298.1104,16383.430400000001,65,69,16,4,6938.657115644341,172.5,4957.66763404434,-1155,1485.17,195.92,0,65,41,3,2017-03
Not Assigned,836528.2102,807425.0052,2531,3204,418,453,310891.1717356238,8010,225770.14225149047,-38371.495,60744.50433333333,8493.39,190.50000000000003,2531,1440,95,2017-03
Prom,150917.56,143769.19,461,585,80,66,56647.75967827795,1462.5,41246.16850161128,-8748.2,11056.784666666666,1345.16,224.67,461,265,10,2017-03
Bridal,19489.0526,19084.9326,55,76,6,17,7509.954224273216,190,5555.016178873216,-894.15,1378.675,430.0299999999999,0,55,22,4,2017-04
Contemporary,30201.9604,29364.5404,98,120,34,10,12119.173725760218,300,8908.037054160217,-1646.2,2323.565,431.5700000000001,236.21,98,54,5,2017-04
Not Assigned,998228.2298,965755.4212,3184,3976,622,615,383587.7641108052,9940,278468.13639600517,-44026.6286,75919.92050000001,9573.84,668.9799999999998,3184,1971,112,2017-04
Prom,184427.3,176379.95,592,734,125,103,70380.06676675632,1830,51073.186216756316,-10899.5,13972.262,2165.95,513.9999999999999,592,391,16,2017-04
Bridal,13363.8352,12619.7232,44,52,8,11,4991.981884145354,130,3519.6399113453535,-912.572,1090.77,116.26,0,44,19,0,2017-05
Contemporary,25539.065599999998,24304.2556,88,98,23,13,9602.6115291774,245,6787.4614501107335,-1485.55,2080.9266666666667,220.74,0,88,55,1,2017-05
Not Assigned,495317.21979999996,481145.0898,1598,1915,398,423,184967.8309066304,4787.5,132670.1825881447,-22445.44,37769.940714285716,5648.86,1357.85,1598,996,95,2017-05
Prom,59006.950000000004,56073.14,200,227,47,60,22128.373301818672,567.5,15739.392241818672,-3818.7,4694.76,824.8899999999999,0,200,130,7,2017-05
Bridal,10593.779,10177.9992,28,45,13,6,4165.950914867731,112.5,3162.9439380677304,-581.209,694.345,94.27,11.1592,28,13,1,2017-06
Contemporary,6492.7412,6162.045800000001,20,25,6,10,2410.704527908162,62.5,1749.5551997081623,-369.24539999999996,474.9500000000001,38.55,0,20,16,0,2017-06
