YearNum,MonthNum,USD
2016,10, 21.01 
2016,11, 19.76 
2016,12, 20.00 
2016,2, 19.18 
2016,3, 18.96 
2016,4, 19.43 
2016,5, 24.72 
2016,6, 20.04 
2016,7, 20.40 
2016,8, 20.27 
2016,9, 20.50 
2017,1, 21.15 
2017,2, 20.25 
2017,3, 20.86 
2017,4, 21.00 
2017,5, 21.21 
2017,6, 21.44 
2017,7, 22.59 
2017,8, 21.03 
