Date,Gross Revenue,Net Sales,Orders,Units,Customized Units,Re-fulfilled Units,COGS,Packaging Materials,Product Cost,Discounts,Shipping,Taxes,Other Adjustments,Transactions,New Customers,Repeat Customers,Returns,Inventory Returns,Refulfilled Return Units
2016-01-15,4394.9184000000005,4391.0984,23,26,7,0,2497.0074938439025,65,1855.3656402439024,-242.5,506.5,0,0,23,18,0,0,0,0
2016-01-16,3916.652,3948.87,20,23,3,0,2270.6403702439025,57.5,1685.5431402439024,-183.53,463.67999999999995,0,0,20,11,1,0,0,0
2016-01-17,4567.6612000000005,4696.3171999999995,25,26,4,0,2634.6057114262626,65,1915.7525126262626,-142.55,574.86,0,0,25,13,0,0,0,0
2016-01-18,7441.4186,7552.922599999999,38,44,7,0,4262.072359489677,110,3172.157604089677,-293.55,857.68,0,0,38,22,2,0,0,0
2016-01-19,4715.2732,4774.5432,27,29,7,0,2876.9892654262626,72.5,2115.2875126262625,-211,614.54,0,0,27,16,0,0,0,0
2016-01-20,5476.8952,5682.4332,30,32,5,0,3117.946838052525,80,2277.5162752525252,-112,666.04,0,0,30,15,4,0,0,0
2016-01-21,6186.79,6278.78,31,36,2,0,3509.474022870165,90,2610.049402870165,-255.5,706.54,0,0,31,20,0,0,0,0
2016-01-22,4723.08,4853.51,25,27,4,0,2628.634942870165,67.5,1936.523152870165,-131.65,543.26,0,0,25,18,0,0,0,0
2016-01-23,4925.0326000000005,5020.3806,23,29,4,0,2767.2036236281347,72.5,2080.932586228135,-155.5,531.98,0,0,23,13,0,0,0,0
2016-01-24,7123.3352,7141.4151999999995,35,42,8,0,3885.5242609535967,105,2918.9632201535965,-361,746.86,0,0,35,23,3,0,0,0
2016-01-25,6050.774,6105.044,32,36,4,0,3474.127002472037,90,2585.5807264720374,-304.92,700.6999999999999,0,0,32,20,0,0,0,0
2016-01-26,5050.5532,5125.695200000001,24,29,5,0,2711.112063670165,72.5,2026.846902870165,-193.48999999999998,526.92,0,0,24,13,0,0,0,0
2016-01-27,4905.6832,4949.5872,26,28,2,0,2883.236478926263,70,2188.0584501262624,-220.75,543.24,0,0,26,19,0,0,0,0
2016-01-28,4528.5566,4480.6466,22,26,4,0,2362.096264026263,65,1763.7175126262625,-278.4,460.64,0,0,22,16,0,0,0,0
2016-01-29,3068.686,3161.918,17,17,3,0,1638.1537622439025,42.5,1180.2981402439025,-93.5,361.06,0,0,17,10,0,0,0,0
2016-01-30,7747.921200000001,7790.6752,41,44,7,0,4197.910861287804,110,3099.821280487805,-374,858.96,0,0,41,27,0,0,0,0
2016-01-31,14336.3452,14400.6672,73,82,16,0,7893.525241409867,205,5909.465892609866,-758.89,1541.84,0,0,73,45,3,0,0,0
